,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
61,1dIMDyUh1tC5uuESauhEM6,0.068,0.662,0.711,0.0,0.2,-6.446,0.0628,93.048,0.514,27
62,6i7mQOXDa23mOJb5TjPqQc,0.0163,0.753,0.779,0.0,0.327,-4.021,0.0361,124.034,0.788,31
63,0OhsHgLWuhP9LG6Xv24HGf,0.791,0.51,0.427,0.0,0.101,-6.804,0.0407,133.995,0.159,27
64,0kW9kEbh9rExtpZzBzAcWU,0.117,0.581,0.694,0.0,0.0959,-5.354,0.0317,90.057,0.305,30
65,2gUAoK1JKLTbXxTBM1QP3M,0.339,0.846,0.494,0.0,0.0782,-7.45,0.0425,121.932,0.765,27
66,7w1f6DUmGsW3esPlS2INpv,0.501,0.588,0.843,0.0,0.138,-2.855,0.0394,123.914,0.183,32
67,5cqBNFtErxeN0Xg746ZuPM,0.144,0.785,0.787,0.0,0.107,-5.779,0.0698,144.051,0.895,25
68,3MHZPi5TciibKTJwWdfWQD,0.175,0.831,0.84,0.0,0.337,-4.655,0.0964,133.954,0.796,25
69,4bzva4tAY7JK7GauSMwDOQ,0.0957,0.678,0.63,1.36e-05,0.359,-5.738,0.0508,148.016,0.907,26
70,6vVDZF6z5OjDkBgY3MPGpL,0.606,0.8,0.38,0.0,0.0958,-10.116,0.0322,105.02,0.64,29
71,68IzxKvdUV0a6pgWbxSLeu,0.787,0.672,0.348,0.0,0.107,-8.565,0.0272,89.953,0.239,30
72,5B1qX4IIndDU8YQXn64eBV,0.101,0.66,0.718,0.0,0.281,-6.68,0.0531,93.029,0.55,24
73,4nMyJMbgs2g8ed3mcwgm7j,0.556,0.535,0.457,0.0,0.122,-5.881,0.0276,123.613,0.302,26
74,6zpiGeoHYRF5vtrboE3rAC,0.0174,0.478,0.889,0.0,0.374,-2.61,0.0507,150.023,0.559,32
75,41GBuYVdCtmzwS8JGVUATP,0.000142,0.65,0.71,0.79,0.0539,-6.488,0.0439,124.035,0.631,18
76,4QpDArWvDAL74OWrz9l1ct,0.655,0.478,0.363,0.853,0.11,-11.257,0.0315,133.929,0.116,18
87,68EkhVWIeULhHxcbi1QhzK,0.121,0.68,0.697,0.0,0.661,-7.01,0.0484,116.033,0.684,79
90,4NgsFDgvexIMJdvLsKKXeB,0.262,0.427,0.454,1.53e-05,0.271,-8.603,0.0535,138.515,0.351,54
91,1N2gWqKHFtPSZ0zgoCr8WK,0.124,0.629,0.833,0.0,0.159,-7.219,0.0855,80.968,0.653,60
92,7JBORNKYEw0ubz6VyzS6DM,0.0344,0.685,0.523,0.0,0.161,-8.633,0.0783,94.026,0.346,61
93,3rJe5xdaNEuhvGzsldqVGv,0.0922,0.536,0.436,0.0,0.104,-8.252,0.0287,78.957,0.406,52
